timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649997100188,159,https://www.demoblaze.com/index.html-10,200,OK,invalid_user 4-6,text,true,,35917,541,15,35,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,128,0,0
1649997100222,921,https://www.demoblaze.com/index.html-11,200,OK,invalid_user 4-6,text,true,,160368,542,15,35,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,391,0,0
1649997100222,285,https://www.demoblaze.com/index.html-12,200,OK,invalid_user 4-6,text,true,,72645,567,15,35,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,153,0,0
1649997100258,426,https://www.demoblaze.com/index.html-13,200,OK,invalid_user 4-6,text,true,,9101,544,15,35,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,422,0,0
1649997100277,1468,https://www.demoblaze.com/index.html-14,200,OK,invalid_user 4-6,text,true,,15297,550,15,35,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,1430,0,1311
1649997100351,654,https://www.demoblaze.com/index.html-15,200,OK,invalid_user 4-6,text,true,,2918,514,15,35,https://www.demoblaze.com/js/index.js,654,0,453
1649997098517,2932,https://www.demoblaze.com/index.html,200,OK,Send_message 6-1,text,true,,451166,8474,1,35,https://www.demoblaze.com/index.html,717,0,400
1649997098517,728,https://www.demoblaze.com/index.html-0,200,OK,Send_message 6-1,text,true,,4946,513,1,35,https://www.demoblaze.com/index.html,717,0,400
1649997099360,321,https://www.demoblaze.com/index.html-1,200,OK,Send_message 6-1,bin,true,,5483,514,1,35,https://www.demoblaze.com/favicon.ico,316,0,0
1649997099374,395,https://www.demoblaze.com/index.html-2,200,OK,Send_message 6-1,text,true,,28624,552,1,35,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,322,0,220
1649997099361,585,https://www.demoblaze.com/index.html-3,200,OK,Send_message 6-1,text,true,,12427,546,1,35,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,558,0,237
1649997099375,343,https://www.demoblaze.com/index.html-4,200,OK,Send_message 6-1,text,true,,1281,520,1,35,https://www.demoblaze.com/css/latofonts.css,339,0,230
1649997099376,540,https://www.demoblaze.com/index.html-5,200,OK,Send_message 6-1,text,true,,1007,520,1,35,https://www.demoblaze.com/css/latostyle.css,539,0,216
1649997099378,547,https://www.demoblaze.com/index.html-6,200,OK,Send_message 6-1,bin,true,,4263,509,1,35,https://www.demoblaze.com/bm.png,546,0,212
1649997099684,380,https://www.demoblaze.com/index.html-7,200,OK,Send_message 6-1,bin,true,,27679,515,1,35,https://www.demoblaze.com/Samsung1.jpg,323,0,0
